brandnm,goodsnm,USER,reg_date,order_date,p_type,sub_type,app_yn
Gucci,wood handle dionysus bag,a1148179,2021-03-04,2021-03-04,4days,BA,
Gucci,Mickeymouse Round Shoulder Bag,a1102068,2020-05-29,2021-03-04,7days,BA,Y
Sandro,pleats basic pattern A-Line dress beige,a1148070,2021-03-03,2021-03-04,7days,D,Y
Miu Miu,matelasse chain mini bag pink,a1148159,2021-03-03,2021-03-04,4days,BA,Y
,ribbon flower pattern top navy & flower pattern dress navy,a1147799,2021-02-28,2021-03-03,7days,TP,Y
Celine,monogram tote bag beige,a1148131,2021-03-03,2021-03-03,7days,BA,Y
Gucci,GG marmont quilted-leather belt bag,a1143318,2021-01-15,2021-03-03,7days,BA,Y
Chanel,unique pattern boy cross bag,a1147817,2021-02-28,2021-03-03,7days,BA,Y
Salvatore Ferragamo,ginny cross bag navy,a1148155,2021-03-03,2021-03-03,7days,BA,Y
Gucci,flap cross bag black,a1146005,2021-02-10,2021-03-03,4days,BA,Y
Clu,jaxsra bag beige,a1146765,2021-02-17,2021-03-03,7days,BA,Y
Burberry,check pattern kilt-skirt brown,a1144910,2021-01-29,2021-03-03,4days,B,
Burberry,belt check pattern trench-coat beige,a1144910,2021-01-29,2021-03-03,4days,O,
Christian Dior,bobby bag black,a1144916,2021-01-30,2021-03-03,7days,BA,Y
Time,basic pattern H-Line dress black,a1131410,2020-11-18,2021-03-03,4days,D,Y
Dolce & Gabbana,button basic pattern singlebreasted-jacket black,a1143337,2021-01-16,2021-03-03,4days,O,Y
Christian Dior,button color block pattern sweater ivory,a167713,2019-12-22,2021-03-03,4days,T,Y
Vivienne Westwood,nappa clasp chain bag,a160736,2019-12-04,2021-03-03,4days,BA,Y
Balmain,button basic pattern wool doublebreasted-jacket black,a13637,2018-03-09,2021-03-03,4days,O,Y
Yves Saint Laurent,chevron quilted shoulder bag black,a195329,2020-04-10,2021-03-03,4days,BA,Y
Chanel,grand-shopping caviar black shoulder bag,a1148104,2021-03-03,2021-03-03,7days,BA,Y
Louis Vuitton,Pochette trunk vertical black bag,a1148115,2021-03-03,2021-03-03,4days,BA,Y
Since then,flower pattern A-Line dress white,a1131410,2020-11-18,2021-03-03,4days,D,Y
Stylenanda,basic pattern H-Line slip-dress black,a1131410,2020-11-18,2021-03-03,4days,D,
Paipai jiemei,ruffle detail tiered lace dress multi,a1145727,2021-02-07,2021-03-03,4days,D,
Gucci,dionysus cross bag beige,a1147807,2021-02-28,2021-03-03,4days,BA,Y
Gucci,jackie 1961 hobo bag brown,a1131514,2020-11-18,2021-03-03,4days,BA,Y
Chanel,boy chanel clutch black,a1148097,2021-03-03,2021-03-03,7days,BA,Y
EJnolee,button check pattern A-Line dress brown,a1145860,2021-02-08,2021-03-03,4days,D,Y
Coach,graphic point two way bag ivory,a1147981,2021-03-02,2021-03-03,4days,BA,Y
Louis Vuitton,monogram two way bag brown,a1148075,2021-03-03,2021-03-03,7days,BA,Y
Prada,color strap shoulder bag navy,a1148019,2021-03-02,2021-03-03,7days,BA,Y
Gucci,dionysus cross bag beige,a1147729,2021-02-27,2021-03-02,4days,BA,Y
Dolce & Gabbana,leopard pattern buckle bag,a1104837,2020-06-17,2021-03-02,4days,BA,Y
Max Mara,strap basic pattern cashmere coat black,a1147704,2021-02-27,2021-03-02,4days,O,Y
Chloe,drew bag beige,a1147704,2021-02-27,2021-03-02,4days,BA,Y
Gucci,dionysus shoulder bag beige,a1106424,2020-06-28,2021-03-02,4days,BA,Y
Recto.,wave neck line slim dress,a18660,2018-09-13,2021-03-02,4days,D,Y
Jill Stuart,romantic sleeve dress pink,a1147531,2021-02-25,2021-03-02,4days,D,Y
& Other Stories,button flower pattern A-Line wrap-dress yellow,a1147531,2021-02-25,2021-03-02,4days,D,Y
Zooc,stripe pattern A-Line shirt-dress yellow,a1147531,2021-02-25,2021-03-02,4days,D,Y
Nain,button basic pattern cardigan black,a1148036,2021-03-02,2021-03-02,4days,O,Y
Gucci,printing lettering pattern t-shirts cream,a1147907,2021-03-01,2021-03-02,4days,T,Y
On&On,gather basic pattern A-Line dress cream,a1115495,2020-08-22,2021-03-02,4days,D,Y
Dint,button basic pattern mermaid dress black,a1115495,2020-08-22,2021-03-02,4days,D,Y
Maison Margiela,Bucket black bag,a1110424,2020-08-05,2021-03-02,7days,BA,Y
Chanel,fold over chain cross bag,a1141604,2021-01-07,2021-03-02,7days,BA,Y
Dior,croisiere patent lady bag navy,a1147803,2021-02-28,2021-03-02,7days,BA,Y
Polo Ralph Lauren,pocket check pattern padding-outer khaki,a1147908,2021-03-01,2021-03-02,4days,O,Y
Gucci,super mini sylvie white,a1144433,2021-01-25,2021-03-02,7days,BA,Y
Thom Browne,button stripe pattern shirts white,a1117218,2020-08-30,2021-03-02,7days,T,Y
Gucci,vintage web GG two way bag brown,a1117218,2020-08-30,2021-03-02,7days,BA,Y
Burberry,zipper detail pointed jacket beige,a163815,2019-12-12,2021-03-01,7days,O,Y
Burberry,button basic pattern wool cardigan grey,a163815,2019-12-12,2021-03-01,7days,O,Y
Chanel,stripe pattern pointed cardigan multi,a1147961,2021-03-01,2021-03-01,4days,O,Y
Gucci,sylvie mini chain ribbon bag red,a1147961,2021-03-01,2021-03-01,4days,BA,Y
Gucci,microssima emily mini bag black,a1147942,2021-03-01,2021-03-01,7days,BA,Y
Chanel,boy chanel clutch black,a1147960,2021-03-01,2021-03-01,7days,BA,Y
Gucci,marmont gg logo quilted bag Black 2,a177034,2020-01-23,2021-03-01,4days,BA,Y
Chanel,brooch check pattern jacket cream,a1146108,2021-02-11,2021-03-01,7days,O,Y
Chanel,pocket tweed pattern cashmere coat pink,a1147959,2021-03-01,2021-03-01,7days,O,
Max Mara,zipper detail two tone jacket,a112319,2018-11-29,2021-03-01,4days,O,Y
Burberry,check mackenzie cross bag pink,a1147938,2021-03-01,2021-03-01,7days,BA,Y
Burberry London,embroidery basic pattern wool sweater brown,a1147932,2021-03-01,2021-03-01,4days,T,Y
London Fog,button basic pattern coat grey,a1147932,2021-03-01,2021-03-01,4days,O,Y
Yves Saint Laurent,logo point clutch bag pink,a119721,2019-04-10,2021-03-01,7days,BA,Y
Prada,saffiano lux M gray,a1146069,2021-02-11,2021-03-01,7days,BA,Y
Burberry,basic pattern sweater beige,a1147848,2021-02-28,2021-03-01,7days,T,Y
Chanel,graphics pattern sweat-shirts white,a1147788,2021-02-28,2021-03-01,7days,T,Y
Burberry,classic trench coat beige,a190054,2020-03-24,2021-03-01,4days,O,Y
